"id_reporte";"sensor_id";"nombre_sensor";"tipo_reporte";"anomalylevel";"vibrationpercentage";"goodvibration";"nbalarmreport";"temperature";"reportid";"vibrationlevel";"peakfrequencyindex";"batterypercentage";"operatingtime";"learningpercentage";"learningfromscratch";"fft";"reportlength";"rssi";"badvibrationpercentage1020";"badvibrationpercentage2040";"badvibrationpercentage4060";"badvibrationpercentage6080";"badvibrationpercentage80100";"anomalylevelto20last24h";"anomalylevelto50last24h";"anomalylevelto80last24h";"anomalylevelto20last30d";"anomalylevelto50last30d";"anomalylevelto80last30d";"anomalylevelto20last6mo";"anomalylevelto50last6mo";"anomalylevelto80last6mo";"totaloperatingtimeknown";"totalunknown1020";"totalunknown2040";"totalunknown4060";"totalunknown6080";"totalunknown80100";"state";"created_at";"updated_at";"deleted_at"
15;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-66";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 00:05:48";"";""
16;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-64";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 03:06:14";"";""
17;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-62";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 04:36:35";"";""
18;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-61";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 04:50:11";"";""
19;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-64";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 05:20:27";"";""
20;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-64";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 05:30:43";"";""
21;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-62";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 06:01:11";"";""
22;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-64";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 06:11:21";"";""
23;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-64";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 06:28:45";"";""
24;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-62";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 08:09:15";"";""
25;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-62";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 08:22:02";"";""
26;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-64";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 09:12:17";"";""
27;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-66";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 09:32:35";"";""
28;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-66";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 09:42:50";"";""
29;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-72";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 11:43:23";"";""
30;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-67";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 12:06:55";"";""
31;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-71";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 12:12:12";"";""
32;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-67";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 14:42:56";"";""
33;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-64";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 15:13:07";"";""
34;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-68";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 15:55:59";"";""
35;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-64";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 18:06:26";"";""
36;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-69";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 21:07:09";"";""
37;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-65";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 23:27:43";"";""
38;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-66";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-13 23:39:38";"";""
39;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-69";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-14 00:09:49";"";""
40;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-67";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-14 03:00:15";"";""
41;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-64";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-14 03:10:31";"";""
42;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-64";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-14 03:20:48";"";""
43;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-65";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-14 03:31:03";"";""
44;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-67";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-14 03:41:14";"";""
